id,spoken_words
414,"I know, but... Wait a minute. I'm Homer Simpson. Ned Flanders lives over there."
415,Flanders is in debt? Are you sure?
416,"Uh, there's a store where..."
417,Yeah.
418,"Knock 'em dead, boy! Kid's gonna be a black belt in no time."
419,"Oh, Flanders, I, uh, want to give you your stuff back."
420,You're gonna live in your car?
421,I know!
422,Why not?
423,Oh.
424,"Oh, it's all my fault."
425,Yes it is.
426,"No, I was a swine."
427,"Listen, Flanders, do you still have that store?"
428,"Flanders, you open that store tomorrow!"
429,I SAID DO IT!
430,"Hello, Jerry? Homer Simpson. Remember last month, when I paid back that loan? Well, now I need you to do a favor for me."
431,"C'mon, you lefties. What'd I tell you?"
432,"It's all here, and it's all backwards. That's right."
433,To Ned Flanders... the richest left- handed man in town.
434,"Hey, look what I got. A genuine official police badge... Calling all cars... come out with your hands up!"
435,"That's Officer Homer. Heh heh, heh, heh."
436,How much does it pay?
437,Pfft. I make more than that.
438,... Bart! Have you started smoking?
439,Don't lie to me boy.
440,"Aha! Cigarettes, just as I thought."
441,"Yeah, right. Son... I'm gonna teach you a lesson. I'm going to stand here and watch you smoke every one of those cigarettes. Then maybe you'll learn..."
442,"Son, I'll never doubt you again."
443,"A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic that would make me a criminal."
444,See? It was all your imagination.
445,"Oh, all right."
446,"Hee hee, hee-hee-hee! Read 'em and weep boys, another pair of sixes."
447,"You know if you need a hat check girl, I've got a daughter."
448,"Marge, the only thing going on down there was a lot of male bonding."
449,Kill my boy! Kill my boy!
450,"Wait till I get you home, boy."
451,"Well, not the leader... I mean... Oh, it's true, it's true! All the pieces fit."
452,I thought he was dead.
453,"Eww, lemon... ugh, cherry... hmm, custard... mmm, purple."
454,"Hey, when do we get the check for this?"
455,You know who the real crooks are? Those sleazy Hollywood Producers.
456,"Here's good news. According to this eye-catching article, SAT scores are declining at a slower rate."
457,"Hey, this is the only paper in America that's not afraid to tell the truth: that everything is just fine."
458,What a movie. And that blonde cutie. Does she have assets.
459,Huh? Noise. Bad noise!
460,"Critical wha...? Okay, okay, don't panic. Whosever problem this is, I'm sure they know how to handle it."
461,Huh? AHHH!! It's my problem! We're doomed!!!
462,"Gotta think! Gotta think! Okay, somewhere there's a thingee that tells you how to work this stuff. The um... the, uh... the manual! The manual! RIGHT."
463,"Uh-huh. It's as fat as a phone book! ""Congratulations on your purchase of a Fissionator 1952 Slow Fission Reactor. Get to the point, man! Ooh, what's this?"
464,Who'd have thought a nuclear reactor would be so complicated!
465,"I don't understand anything! When they look up stupid in the dictionary, there'll be a picture of me!"
466,Shut up!
467,"Simpson, it's all up to you. It's showtime!"
468,"Okay, okay, think back to your training..."
469,Yes.
470,"Ooh, a side."
471,What?
472,"Yeah, yeah, yeah, push the button, got it."
473,"This is all your fault! Okay, gotta pick a button. Pick a button. Pick a button. Uh, one potato, two potato, three potato, four... No, wait! Bubble gum, bubble gum, in a dish, how many pieces do you wish? No, no!"
474,"Eenie meenie minee moe, catch a tiger by the toe, if he hollers let him go... Eenie meenie minee... Moe."
475,"Hey, you know boys, a nuclear reactor's a lot like a woman. You just have to read the manual and press the right button."
476,Magic Johnson! Y'ello.
477,Yeah.
478,"Well, thank you."
479,"Uh, Magic. What if people think a guy's a hero but he was really just lucky?"
480,"Thanks, Magic."
481,"Look, I get enough admiration and respect at work. I don't need it here at home."
482,It tastes so bitter. It's like ashes in my mouth!
483,"What's your problem, boy?"
484,That four-eyes with the big nose? You don't need friends like that.
485,What? What is it? What are you doing?
486,"Well, as long as it's quiet."
487,"Oooh, right next to the boss. Eh, he'll never know who did it."
488,Huh? Wha?...
489,Their Eanae-eharatou-nah-dule-what?
490,"But I really can't tell them anything, sir."
491,What am I gonna do? What am I gonna do?
492,Did it work?
493,Uh... ladies and... gentlemen...
494,"Um, Grace under pressure is no..."
495,Whew! Saved by the bell.
496,All right.
497,"Eeenie meenie minee moe, catch a tiger by the toe... If he hollers let him go, eenie meenie minee moe."
498,Sure. Moe.
499,You think it's him?
500,What are you talking about? Of course he does.
501,We could have seen a monkey.
502,He's talking funny talk.
503,A Jewish entertainer? Get outta here.
504,Mel Brooks is Jewish?
505,"Hey Krusty, are you gonna finish that meatloaf or what?"
506,"Yeah, Krusty, tell us."
507,"Boy, you don't have to follow in my footsteps."
508,Why you little...
509,"No, that's it. You've seen everything."
510,Gladly.
511,"Hey, if you don't like it, go to Russia."
512,"Hey, aren't you a little old for this? You're not even wearing costumes."
513,"Here you go, kids. Lousy punks..."
514,Get a good haul this year?
515,"I am very, very proud of you kids."
516,I'd like to see that.
517,What a dump. Why would Princess Grace live in a place like this?
518,Eeuhgh. What is this thing?
519,Oh yeah? How much?
520,"C'mom pal, I don't wanna hear your life story. Paw me!"
521,"Why at that little shop, right over... there."
522,"Oh no, wait, it was over there."
523,"Don't shoot, Don't shoot. They're souvenirs."
524,Okay.
525,"Forget it, you two. As the pants- wearer of this house, I get the first wish."
526,"Marge, don't flake out on me. That monkey's paw is gonna make our dreams come true."
527,"Ooh, a luxury car. Good baby. Good Maggie."
528,Now you're talkin'!
529,Woo hoo!
530,"C'mon, everybody. We're going to the fanciest restaurant in town!"
531,"Come to think of it, the guy that sold me this thing did say the wishes would bring grave misfortune. I thought he was just being colorful."
532,"Lisa, that was very selfish of you."
533,"Ok, Ok. I'll make a wish that can't backfire. I wish for a turkey sandwich, on rye bread, with lettuce and mustard, And...AND! I don't want any zombie turkeys, I don't want to turn into a turkey myself, and I don't want any other weird surprises. You got it?"
534,"Hey... Hmm. Not bad. Nice hot mustard... good bread... Turkey's a little dry. The turkey's a little dry?! Oh foul, accursed thing! What demon from the depths of hell created thee?!"
535,"Yeah, but I gotta warn you that this thing is ee ... Yeah, that's what it is. Wanna try it? Heh, heh, heh."
536,I wish I had a Monkey's Paw.
537,Hiya Bart!!! How's my boy! Heh heh. Heh heh.
538,"It's good that you made that awful thing, Bart. It's real good."
539,"He gets it from your side of the family, you know. No monsters on my side."
540,Come on... make it... make it... make it... please... please... please.
541,Shut up boy. If they make this field goal I win fifty bucks.
542,"Slowly... slowly... don't make a sound... don't even think, because he can hear your thoughts... then, when he's least expecting it, bash his head in with a chair. End of monster. Heh heh heh."
543,I'm not nodding. It's the air conditioning.
544,Ouch!
545,"Good night, son."
546,"Well, if you wanted to, you could give me my body back."
547,"Oh, ah, thanks boy."
548,"I love you, son."
549,You both toilet-trained?
550,"Well, okay then... ... Four o'clock... Coupla hours I have to get up and go to work... gotta go to work... go to work."
551,Huh? What?
552,For what?
553,How do you know I was sleeping?
554,Camera?
555,How hard can it be?
556,"Ooo, what job is that?"
557,Sheesh. What a slave driver.
558,No. Bart bit me.
559,I gotta go shake the dew off the lilly.
560,I didn't wake up. It's all a dream. It's just a dream!
561,Umm. Spaghetti.
562,"Oh, I hate having two heads."
563,Oooh.
564,Ahhh.
565,Y'ello.
566,"Don't worry, I know it's tonight."
567,Uh... isn't this the kind of thing your mother's better at?
568,"Wow! And after them, out of all the people in the world, you chose me. Uh huh, yeah, number four and a half reed."
569,"Whew! Just in the nick of... mmm, beer?"
570,"Hurry, Moe, hurry! I've only got five minutes till the music store closes."
571,"Hey, do I tell you how to do your job?"
572,"You know, if you tip the glass, there won't be so much foam on top."
573,Ah. Finished with fifteen seconds to spare.
574,The moron next door closed early!
575,"Oh, me and my trenchant mouth."
576,"Hmm. ""Lisa stop playing that stupid... saxophone!"" Yes! That's it!"
577,"Please, you've got to open that store."
578,"Okay, okay. But I want you to see a picture of the little girl you're disappointing. Well I don't have one."
579,"I'll have you know, I wrote it down."
580,Number Four and a half -- Stupid gum!
581,Number Four and a Half reed! Whoo hoo!
582,I dunno.
583,No.
584,No.
585,No!... Wait a minute. What was that last one again?
586,"Whew, I'd hate to be that kid's father."
587,Uh-oh.
588,Yeah! Woo! Woo! Yeah!
589,I ordered it for my little girl. Heh... heh.
590,That cost eighty-eight dollars!
591,"Look, I let you down and I apologize. I know that doesn't make it right, but I hope you can find it in your heart to forgive me."
592,You didn't mean that!
593,No wonder she hates me. I never even noticed that she was alive.
594,Okay.
595,"Maybe I should just cut my losses, give up on Lisa, and make a fresh start with Maggie."
